severity,code,sheet,row,project,client,field,message,amount
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,100,ЖК Курортный,,,Дебиторка без даты плана поступления,405467.25
warn,PLACEHOLDER_DATE,bez_ryb_NK,100,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,101,ЖК Курортный,,,Дебиторка без даты плана поступления,822304.85
warn,PLACEHOLDER_DATE,bez_ryb_NK,101,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,102,ЖК Курортный,,,Дебиторка без даты плана поступления,932969.73
warn,PLACEHOLDER_DATE,bez_ryb_NK,102,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,103,ЖК Исеть Парк,,,Дебиторка без даты плана поступления,903397.19
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,104,ЖК Утес,,,Дебиторка без даты плана поступления,262988.48
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,105,ЖК Нокса Парк,,,Дебиторка без даты плана поступления,595852.98
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,106,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,1560971.98
warn,PLACEHOLDER_DATE,bez_ryb_NK,106,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,107,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,1077308.12
warn,PLACEHOLDER_DATE,bez_ryb_NK,107,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,108,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,950000.0
warn,PLACEHOLDER_DATE,bez_ryb_NK,108,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,109,ЖК Новое К,,,Дебиторка без даты плана поступления,677663.74
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,110,ЖК Новое К,,,Дебиторка без даты плана поступления,713043.88
warn,PLACEHOLDER_DATE,bez_ryb_NK,110,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,111,ЖК Новое К,,,Дебиторка без даты плана поступления,459100.14
warn,PLACEHOLDER_DATE,bez_ryb_NK,111,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,112,ЖК Новое К,,,Дебиторка без даты плана поступления,335188.08
warn,PLACEHOLDER_DATE,bez_ryb_NK,112,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,113,ЖК Новое К,,,Дебиторка без даты плана поступления,287048.06
warn,PLACEHOLDER_DATE,bez_ryb_NK,113,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,114,ЖК Астрид,,,Дебиторка без даты плана поступления,425589.99
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,115,ЖК Астрид,,,Дебиторка без даты плана поступления,228370.58
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,116,ЖК Курортный,,,Дебиторка без даты плана поступления,575041.2
warn,PLACEHOLDER_DATE,bez_ryb_NK,116,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,117,ЖК Курортный,,,Дебиторка без даты плана поступления,287784.93
warn,PLACEHOLDER_DATE,bez_ryb_NK,117,ЖК Курортный,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,118,ЖК Курортный,,,Дебиторка без даты плана поступления,461430.77
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,119,ЖК Курортный,,,Дебиторка без даты плана поступления,932969.73
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,120,ЖК Космонавтов 11,,,Дебиторка без даты плана поступления,1486782.15
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,121,ЖК Космонавтов 11,,,Дебиторка без даты плана поступления,1791676.56
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,122,ЖК Космонавтов 11,,,Дебиторка без даты плана поступления,322032.72
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,123,ЖК Исеть Парк,,,Дебиторка без даты плана поступления,749636.11
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,124,ЖК Утес,,,Дебиторка без даты плана поступления,218229.04
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,125,ЖК Нокса Парк,,,Дебиторка без даты плана поступления,529581.35
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,126,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,1560971.98
warn,PLACEHOLDER_DATE,bez_ryb_NK,126,ЖК Рыбацкое,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,127,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,1077308.12
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,128,ЖК Рыбацкое,,,Дебиторка без даты плана поступления,950000.0
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,129,ЖК Новое К,,,Дебиторка без даты плана поступления,677663.74
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,130,ЖК Новое К,,,Дебиторка без даты плана поступления,713043.88
warn,PLACEHOLDER_DATE,bez_ryb_NK,130,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,131,ЖК Новое К,,,Дебиторка без даты плана поступления,459100.14
warn,PLACEHOLDER_DATE,bez_ryb_NK,131,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
warn,DEBT_NO_PLAN_DATE,bez_ryb_NK,132,ЖК Новое К,,,Дебиторка без даты плана поступления,335188.08
warn,PLACEHOLDER_DATE,bez_ryb_NK,132,ЖК Новое К,,Срок подписание акта по п 4.6,Placeholder: 09.01.1900,
